player_name,team_abbreviation,age,player_height,player_weight,college,draft_year,season
hassanwhiteside,MIA,28,213.36,120.20188,Marshall,2010,2016
harrisonbarnes,DAL,25,203.2,102.0582,North Carolina,2012,2016
greivisvasquez,BKN,30,198.12,98.429464,Maryland,2010,2016
dwighthoward,ATL,31,210.82,120.20188,None,2004,2016
draymondgreen,GSW,27,200.66,104.32616,Michigan State,2012,2016
draganbender,PHX,19,215.9,102.0582,None,2016,2016
dougmcdermott,OKC,25,203.2,99.336648,Creighton,2014,2016
dorianfinney-smith,DAL,24,203.2,99.79024,Florida,Undrafted,2016
donatasmotiejunas,NOP,26,213.36,100.697424,None,2011,2016
domantassabonis,OKC,21,210.82,108.86208,Gonzaga,2016,2016
dirknowitzki,DAL,39,213.36,111.13004,None,1998,2016
dionwaiters,MIA,25,193.04,99.79024,Syracuse,2012,2016
diamondstone,LAC,20,210.82,115.66596000000001,Maryland,2016,2016
deyontadavis,MEM,20,208.28,108.86208,Michigan State,2016,2016
dewaynededmon,SAS,27,213.36,111.13004,Southern California,Undrafted,2016
dwightpowell,DAL,25,210.82,108.86208,Stanford,2014,2016
devinharris,DAL,34,190.5,83.91452,Wisconsin,2004,2016
derrickwilliams,CLE,26,203.2,108.86208,Arizona,2011,2016
derrickrose,NYK,28,190.5,86.18248,Memphis,2008,2016
derrickjonesjr.,PHX,20,200.66,86.18248,Nevada-Las Vegas,Undrafted,2016
derrickfavors,UTA,25,208.28,120.20188,Georgia Tech,2010,2016
deronwilliams,CLE,33,190.5,90.7184,Illinois,2005,2016
denzelvalentine,CHI,23,198.12,96.16150400000001,Michigan State,2016,2016
dennisschroder,ATL,23,185.42,78.017824,None,2013,2016
demetriusjackson,BOS,22,185.42,91.171992,Notre Dame,2016,2016
delonwright,TOR,25,195.58,86.18248,Utah,2015,2016
dejountemurray,SAS,20,195.58,77.11064,Washington,2016,2016
demarrecarroll,TOR,30,203.2,96.16150400000001,Missouri,2009,2016
demarcuscousins,NOP,26,210.82,122.46983999999999,Kentucky,2010,2016
devinbooker,PHX,20,198.12,93.439952,Kentucky,2015,2016
dwyanewade,CHI,35,193.04,99.79024,Marquette,2003,2016
e'twaunmoore,NOP,28,193.04,86.636072,Purdue,2011,2016
eddavis,POR,28,208.28,111.13004,North Carolina,2010,2016
gregmonroe,MIL,27,210.82,120.20188,Georgetown,2010,2016
gorguidieng,MIN,27,210.82,108.86208,Louisville,2013,2016
gordonhayward,UTA,27,203.2,102.511792,Butler,2010,2016
gorandragic,MIA,31,190.5,86.18248,None,2008,2016
glennrobinsoniii,IND,23,198.12,100.697424,Michigan,2014,2016
giannisantetokounmpo,MIL,22,210.82,100.697424,None,2013,2016
geraldhenderson,PHI,29,195.58,97.52228000000001,Duke,2009,2016
geraldgreen,BOS,31,200.66,92.98635999999999,None,2005,2016
georgiospapagiannis,SAC,19,215.9,108.86208,None,2016,2016
georgesniang,IND,24,203.2,104.32616,Iowa State,2016,2016
georgehill,UTA,31,190.5,85.275296,Indiana Purdue-Indianapolis,2008,2016
garypaytonii,MIL,24,190.5,86.18248,Oregon State,Undrafted,2016
garyneal,ATL,32,193.04,95.25431999999999,Towson,Undrafted,2016
garyharris,DEN,22,193.04,95.25431999999999,Michigan State,2014,2016
garretttemple,SAC,31,198.12,88.45044,Louisiana State,Undrafted,2016
fredvanvleet,TOR,23,182.88,88.45044,Wichita State,Undrafted,2016
frankkaminsky,CHA,24,213.36,108.86208,Wisconsin,2015,2016
evanturner,POR,28,200.66,99.79024,Ohio State,2010,2016
evanfournier,ORL,24,200.66,92.98635999999999,None,2012,2016
ersanilyasova,ATL,30,208.28,106.59411999999999,None,2005,2016
ericgordon,HOU,28,193.04,97.52228000000001,Indiana,2008,2016
ericbledsoe,PHX,27,185.42,92.98635999999999,Kentucky,2010,2016
