player_name,player_position,player_team_abbreviation,player_pts,player_trb,player_ast,player_stl,player_blk,player_fg_pct,player_threept_pct,player_ft_pct
thaddeusyoung,PF,IND,11.0,6.1,1.6,1.5,0.4,0.527,0.381,0.523
jjbarea,PG,DAL,10.9,2.4,5.5,0.4,0.0,0.414,0.358,0.863
justisewinslow,SF,MIA,10.9,5.2,3.7,1.4,0.3,0.35600000000000004,0.2,0.617
tajgibson,PF,CHI/OKC,10.8,6.2,0.9,0.5,0.8,0.515,0.231,0.715
marcingortat,C,WSH,10.8,10.4,1.5,0.5,0.7,0.579,0.0,0.648
terrencejones,PF,NO/MIL,10.8,5.7,1.1,0.7,1.0,0.47,0.253,0.606
courtneylee,SG,NY,10.8,3.4,2.3,1.1,0.3,0.456,0.401,0.867
allencrabbe,SG,POR,10.7,2.9,1.2,0.7,0.3,0.46799999999999997,0.444,0.847
alexpoythress,PF,PHI,10.7,4.8,0.8,0.5,0.3,0.46299999999999997,0.316,0.8
buddyhield,SG,NO/SAC,10.6,3.3,1.5,0.5,0.1,0.426,0.391,0.8420000000000001
nikolamirotic,PF,CHI,10.6,5.5,1.1,0.8,0.8,0.413,0.342,0.773
marcussmart,SG,BOS,10.6,3.9,4.6,1.6,0.4,0.359,0.28300000000000003,0.812
marcobelinelli,SG,CHA,10.5,2.4,2.0,0.6,0.1,0.429,0.36,0.893
wayneellington,SG,MIA,10.5,2.1,1.1,0.6,0.1,0.41600000000000004,0.37799999999999995,0.86
robinlopez,C,CHI,10.4,6.4,1.0,0.2,1.4,0.493,0.0,0.721
masonplumlee,C,DEN/POR,10.4,7.5,3.5,0.9,1.1,0.536,0.0,0.58
tyrekeevans,SF,NO/SAC,10.3,3.4,3.1,0.9,0.2,0.405,0.35600000000000004,0.75
codyzeller,PF,CHA,10.3,6.5,1.6,1.0,0.9,0.5710000000000001,0.0,0.679
malcolmbrogdon,SG,MIL,10.2,2.8,4.2,1.1,0.2,0.457,0.40399999999999997,0.865
draymondgreen,PF,GS,10.2,7.9,7.0,2.0,1.4,0.418,0.308,0.7090000000000001
jonleuer,PF,DET,10.2,5.4,1.5,0.4,0.3,0.48,0.293,0.867
jusufnurkic,C,DEN/POR,10.2,7.2,1.9,0.8,1.1,0.507,0.0,0.5710000000000001
joshrichardson,SG,MIA,10.2,3.2,2.6,1.1,0.7,0.39399999999999996,0.33,0.779
kylekorver,SG,ATL/CLE,10.1,2.8,1.6,0.5,0.3,0.46399999999999997,0.451,0.905
tonyparker,PG,SA,10.1,1.8,4.5,0.5,0.0,0.466,0.33299999999999996,0.726
trevorbooker,PF,BKN,10.0,8.0,1.9,1.1,0.4,0.516,0.321,0.6729999999999999
gorguidieng,PF,MIN,10.0,7.9,1.9,1.1,1.2,0.502,0.37200000000000005,0.8140000000000001
yogiferrell,PG,DAL/BKN,10.0,2.4,3.7,0.9,0.2,0.406,0.386,0.831
mauriceharkless,SF,POR,10.0,4.4,1.1,1.1,0.9,0.503,0.35100000000000003,0.621
tylawson,PG,SAC,9.9,2.6,4.8,1.1,0.1,0.45399999999999996,0.28800000000000003,0.797
shabazzmuhammad,SF,MIN,9.9,2.8,0.4,0.3,0.1,0.48200000000000004,0.33799999999999997,0.774
jamalmurray,SG,DEN,9.9,2.6,2.1,0.6,0.3,0.40399999999999997,0.33399999999999996,0.883
richaunholmes,C,PHI,9.8,5.5,1.0,0.7,1.0,0.5579999999999999,0.35100000000000003,0.6990000000000001
jeremylamb,SG,CHA,9.7,4.3,1.2,0.4,0.4,0.46,0.281,0.853
kennethfaried,PF,DEN,9.6,7.6,0.9,0.7,0.7,0.5479999999999999,0.0,0.693
etwaunmoore,SG,NO,9.6,2.1,2.2,0.7,0.4,0.457,0.37,0.77
patrickbeverley,SG,HOU,9.5,5.9,4.2,1.5,0.4,0.42,0.382,0.768
derrickfavors,PF,UTAH,9.5,6.1,1.1,0.9,0.8,0.48700000000000004,0.3,0.615
pattymills,PG,SA,9.5,1.8,3.5,0.8,0.0,0.44,0.414,0.825
nikstauskas,SG,PHI,9.5,2.8,2.4,0.6,0.4,0.396,0.368,0.813
michaelbeasley,PF,MIL,9.4,3.4,0.9,0.5,0.5,0.532,0.419,0.743
brandoningram,SF,LAL,9.4,4.0,2.1,0.6,0.5,0.402,0.294,0.621
ishsmith,PG,DET,9.4,2.9,5.2,0.8,0.4,0.439,0.267,0.706
coryjoseph,PG,TOR,9.3,2.9,3.3,0.8,0.2,0.452,0.35600000000000004,0.77
marquesechriss,PF,PHX,9.2,4.2,0.7,0.8,0.9,0.449,0.321,0.624
jeffgreen,PF,ORL,9.2,3.1,1.2,0.5,0.2,0.39399999999999996,0.275,0.863
geraldhenderson,SG,PHI,9.2,2.6,1.6,0.6,0.2,0.423,0.353,0.8059999999999999
joejohnson,SF,UTAH,9.2,3.1,1.8,0.5,0.2,0.436,0.41100000000000003,0.818
michaelkiddgilchrist,SF,CHA,9.2,7.0,1.4,1.0,1.0,0.47700000000000004,0.111,0.784
jameernelson,PG,DEN,9.2,2.6,5.1,0.7,0.1,0.444,0.38799999999999996,0.7140000000000001
tonyallen,SG,MEM,9.1,5.5,1.4,1.6,0.4,0.461,0.278,0.615
channingfrye,C,CLE,9.1,3.9,0.6,0.4,0.5,0.45799999999999996,0.409,0.851
montrezlharrell,C,HOU,9.1,3.8,1.1,0.3,0.7,0.652,0.14300000000000002,0.628
jodiemeeks,SG,ORL,9.1,2.1,1.3,0.9,0.1,0.402,0.409,0.878
dahntayjones,SF,CLE,9.0,2.0,1.0,0.0,0.0,0.375,0.0,0.75
dougmcdermott,SF,CHI/OKC,9.0,2.7,0.9,0.2,0.1,0.447,0.37,0.845
kellyolynyk,C,BOS,9.0,4.8,2.0,0.6,0.4,0.512,0.354,0.732
evanturner,SF,POR,9.0,3.8,3.2,0.8,0.4,0.426,0.263,0.825
demarrecarroll,SF,TOR,8.9,3.8,1.0,1.1,0.4,0.4,0.341,0.7609999999999999
jamychalgreen,PF,MEM,8.9,7.1,1.1,0.6,0.4,0.5,0.379,0.802
skallabissiere,PF,SAC,8.8,4.9,0.8,0.5,0.4,0.537,0.375,0.703
alfarouqaminu,SF,POR,8.7,7.4,1.6,1.0,0.7,0.39299999999999996,0.33,0.706
rondaehollisjefferson,SF,BKN,8.7,5.8,2.0,1.1,0.6,0.434,0.22399999999999998,0.7509999999999999
nerlensnoel,C,DAL/PHI,8.7,5.8,1.0,1.3,1.0,0.595,0.0,0.6940000000000001
marreesespeights,C,LAC,8.7,4.5,0.8,0.3,0.5,0.445,0.37200000000000005,0.8759999999999999
montaellis,SG,IND,8.5,2.8,3.2,1.1,0.4,0.44299999999999995,0.319,0.727
tonysnell,SG,MIL,8.5,3.1,1.2,0.7,0.2,0.455,0.406,0.81
arronafflalo,SG,SAC,8.4,2.0,1.3,0.3,0.1,0.44,0.41100000000000003,0.892
tysonchandler,C,PHX,8.4,11.5,0.6,0.7,0.5,0.6709999999999999,,0.7340000000000001
normanpowell,SG,TOR,8.4,2.2,1.1,0.7,0.2,0.449,0.324,0.792
troydaniels,SG,MEM,8.2,1.5,0.7,0.3,0.1,0.374,0.389,0.7959999999999999
joeharris,SG,BKN,8.2,2.8,1.0,0.6,0.2,0.425,0.385,0.7140000000000001
willyhernangomez,C,NY,8.2,7.0,1.3,0.6,0.5,0.529,0.267,0.728
carislevert,SF,BKN,8.2,3.3,1.9,0.9,0.1,0.45,0.321,0.72
shawnlong,C,PHI,8.2,4.7,0.7,0.5,0.5,0.56,0.368,0.5429999999999999
williecauleystein,C,SAC,8.1,4.5,1.1,0.7,0.6,0.53,0.0,0.669
aljefferson,C,IND,8.1,4.2,0.9,0.3,0.2,0.499,0.0,0.765
benmclemore,SG,SAC,8.1,2.1,0.8,0.5,0.1,0.43,0.382,0.753
tristanthompson,C,CLE,8.1,9.2,1.0,0.5,1.1,0.6,0.0,0.498
vincecarter,SF,MEM,8.0,3.1,1.8,0.8,0.5,0.39399999999999996,0.37799999999999995,0.765
alexlen,C,PHX,8.0,6.6,0.6,0.5,1.3,0.49700000000000005,0.25,0.721
djaugustin,PG,ORL,7.9,1.5,2.7,0.4,0.0,0.377,0.34700000000000003,0.8140000000000001
langstongalloway,PG,NO/SAC,7.9,2.1,1.3,0.6,0.1,0.38,0.39,0.797
shelvinmack,PG,UTAH,7.8,2.3,2.8,0.8,0.1,0.446,0.308,0.688
sergiorodriguez,PG,PHI,7.8,2.3,5.1,0.7,0.1,0.392,0.365,0.667
rajonrondo,PG,CHI,7.8,5.1,6.7,1.4,0.2,0.408,0.376,0.6
garretttemple,SG,SAC,7.8,2.8,2.6,1.3,0.4,0.424,0.373,0.784
justinholiday,SG,NY,7.7,2.7,1.2,0.8,0.4,0.433,0.355,0.825
matthewdellavedova,PG,MIL,7.6,1.9,4.7,0.7,0.0,0.39,0.36700000000000005,0.8540000000000001
luoldeng,SF,LAL,7.6,5.3,1.3,0.9,0.4,0.387,0.309,0.73
andreiguodala,SF,GS,7.6,4.0,3.4,1.0,0.5,0.528,0.36200000000000004,0.706
manuginobili,SG,SA,7.5,2.3,2.7,1.2,0.2,0.39,0.392,0.804
imanshumpert,SG,CLE,7.5,2.9,1.4,0.8,0.4,0.41100000000000003,0.36,0.789
ivicazubac,C,LAL,7.5,4.2,0.8,0.4,0.9,0.529,0.0,0.653
timofeymozgov,C,LAL,7.4,4.9,0.8,0.3,0.6,0.515,0.0,0.8079999999999999
isaiahwhitehead,PG,BKN,7.4,2.5,2.6,0.6,0.5,0.402,0.295,0.805
alanwilliams,C,PHX,7.4,6.2,0.5,0.6,0.7,0.517,0.0,0.625
spencerdinwiddie,PG,BKN,7.3,2.8,3.1,0.7,0.4,0.444,0.376,0.792
dannygreen,SG,SA,7.3,3.3,1.8,1.0,0.8,0.392,0.379,0.8440000000000001
davidlee,PF,SA,7.3,5.6,1.6,0.4,0.5,0.59,,0.708
tylerulis,PG,PHX,7.3,1.6,3.7,0.8,0.1,0.42100000000000004,0.266,0.775
thabosefolosha,SF,ATL,7.2,4.4,1.7,1.5,0.5,0.441,0.342,0.733
rodneystuckey,PG,IND,7.2,2.2,2.2,0.4,0.0,0.373,0.317,0.748
justinanderson,SF,DAL/PHI,7.1,3.3,0.9,0.5,0.3,0.424,0.299,0.7909999999999999
mattbarnes,SF,GS/SAC,7.1,5.2,2.6,0.6,0.4,0.391,0.331,0.787
timfrazier,PG,NO,7.1,2.7,5.2,0.9,0.1,0.40299999999999997,0.313,0.76
joeingles,SF,UTAH,7.1,3.2,2.7,1.2,0.1,0.452,0.441,0.735
brandonjennings,PG,NY/WSH,7.1,2.4,4.9,0.9,0.0,0.359,0.313,0.75
larrynancejr,PF,LAL,7.1,5.9,1.5,1.3,0.6,0.526,0.278,0.738
anthonytolliver,PF,SAC,7.1,3.6,1.2,0.5,0.3,0.442,0.391,0.7440000000000001
solomonhill,SF,NO,7.0,3.8,1.8,0.9,0.4,0.38299999999999995,0.348,0.805
joshhuestis,PF,OKC,7.0,4.5,1.5,0.0,1.5,0.545,0.5,0.0
justinhamilton,C,BKN,6.9,4.1,0.9,0.5,0.7,0.45899999999999996,0.306,0.75
tjmcconnell,PG,PHI,6.9,3.1,6.6,1.7,0.1,0.461,0.2,0.8109999999999999
ianclark,SG,GS,6.8,1.6,1.2,0.5,0.1,0.48700000000000004,0.374,0.759
jareddudley,PF,PHX,6.8,3.5,1.9,0.7,0.3,0.45399999999999996,0.379,0.662
johnhenson,C,MIL,6.8,5.1,1.0,0.5,1.3,0.515,0.0,0.6920000000000001
patrickpatterson,PF,TOR,6.8,4.5,1.2,0.6,0.4,0.401,0.37200000000000005,0.7170000000000001
bobbyportis,PF,CHI,6.8,4.6,0.5,0.3,0.2,0.488,0.33299999999999996,0.6609999999999999
brandanwright,PF,MEM,6.8,2.8,0.5,0.4,0.7,0.615,0.0,0.657
alecburks,SG,UTAH,6.7,2.9,0.7,0.4,0.1,0.39899999999999997,0.32899999999999996,0.769
raymondfelton,PG,LAC,6.7,2.7,2.4,0.8,0.3,0.43,0.319,0.7809999999999999
devinharris,PG,DAL,6.7,2.0,2.1,0.7,0.1,0.39899999999999997,0.32799999999999996,0.8290000000000001
dwightpowell,C,DAL,6.7,4.0,0.6,0.8,0.5,0.515,0.284,0.759
jaylenbrown,SF,BOS,6.6,2.8,0.8,0.4,0.2,0.45399999999999996,0.341,0.685
michaelcarterwilliams,PG,CHI,6.6,3.4,2.5,0.8,0.5,0.366,0.23399999999999999,0.753
dantecunningham,SF,NO,6.6,4.2,0.6,0.6,0.4,0.485,0.392,0.593
kostakoufos,C,SAC,6.6,5.7,0.7,0.5,0.7,0.551,0.0,0.613
andreroberson,SF,OKC,6.6,5.1,1.0,1.2,1.0,0.46399999999999997,0.245,0.423
marcusthornton,SG,WSH,6.6,2.3,1.2,0.6,0.1,0.4,0.35,0.852
samdekker,SF,HOU,6.5,3.7,1.0,0.5,0.3,0.473,0.321,0.5589999999999999
amirjohnson,PF,BOS,6.5,4.6,1.8,0.6,0.8,0.5760000000000001,0.409,0.67
darrellarthur,PF,DEN,6.4,2.7,1.0,0.5,0.5,0.442,0.45299999999999996,0.8640000000000001
timotheluwawucabarrot,SF,PHI,6.4,2.2,1.1,0.5,0.1,0.402,0.311,0.8540000000000001
rodneymcgruder,SG,MIA,6.4,3.3,1.6,0.6,0.2,0.413,0.332,0.62
mirzateletovic,PF,MIL,6.4,2.3,0.7,0.2,0.2,0.373,0.341,0.778
leandrobarbosa,SG,PHX,6.3,1.6,1.2,0.5,0.1,0.439,0.35700000000000004,0.889
mindaugaskuzminskas,SF,NY,6.3,1.9,1.0,0.4,0.2,0.428,0.321,0.809
kyleoquinn,C,NY,6.3,5.6,1.5,0.5,1.3,0.521,0.11800000000000001,0.7709999999999999
nemanjabjelica,PF,MIN,6.2,3.8,1.2,0.6,0.3,0.424,0.316,0.738
danteexum,PG,UTAH,6.2,2.0,1.7,0.3,0.2,0.42700000000000005,0.295,0.795
jonathangibson,PG,DAL,6.2,1.3,1.5,0.5,0.0,0.368,0.33299999999999996,0.7240000000000001
spencerhawes,PF,MIL/CHA,6.2,3.5,1.5,0.3,0.6,0.484,0.309,0.846
treylyles,PF,UTAH,6.2,3.3,1.0,0.4,0.3,0.36200000000000004,0.319,0.722
mikemuscala,C,ATL,6.2,3.4,1.4,0.4,0.6,0.504,0.418,0.7659999999999999
chandlerparsons,SF,MEM,6.2,2.5,1.6,0.6,0.1,0.33799999999999997,0.26899999999999996,0.8140000000000001
