player_name,player_games_played,player_off_plus_min,player_def_plus_min,player_real_plus_min,player_wins
derrickrose,64,0.11,-2.36,-2.25,1.17
mirzateletovic,70,-1.05,-0.44,-1.49,1.16
domantassabonis,81,-3.9,1.86,-2.04,1.14
averybradley,55,-0.44,-1.72,-2.16,1.13
timotheluwawu-cabarrot,69,-2.27,0.57,-1.7,1.11
glennrobinsoniii,69,-1.25,-0.67,-1.92,1.1
dennisschroder,79,0.31,-2.76,-2.45,1.07
johnhenson,58,-3.42,1.79,-1.63,1.05
colealdrich,62,-1.82,1.83,0.01,1.04
wesleyjohnson,68,-3.79,2.62,-1.17,1.01
darrellarthur,41,-0.91,0.2,-0.71,0.99
aljefferson,66,-1.0,-0.45,-1.45,0.98
benoudrih,39,-0.39,0.13,-0.26,0.98
tomassatoransky,57,-2.1,1.08,-1.02,0.93
raymondfelton,80,-1.4,-0.88,-2.28,0.92
dorianfinney-smith,81,-1.92,-0.3,-2.22,0.9
juanhernangomez,62,-0.85,-0.69,-1.54,0.88
coryjoseph,80,-0.5,-1.94,-2.44,0.86
justinhamilton,64,-1.64,-0.42,-2.06,0.84
terrencejones,54,-1.38,-0.72,-2.1,0.84
bobanmarjanovic,35,-0.24,1.66,1.42,0.82
derrickjonesjr.,32,-1.06,0.18,-0.88,0.82
tyrekeevans,40,-1.52,0.02,-1.5,0.81
seankilpatrick,70,-0.07,-2.36,-2.43,0.81
alexlen,77,-3.62,1.28,-2.34,0.81
j.j.barea,35,0.15,-1.57,-1.42,0.8
reggiebullock,31,-0.98,0.57,-0.41,0.79
nikstauskas,80,-0.32,-2.25,-2.57,0.78
michaelcarter-williams,45,-2.82,1.12,-1.7,0.77
delonwright,27,-1.28,0.98,-0.3,0.77
troydaniels,67,-0.02,-2.1,-2.12,0.72
jakobpoeltl,54,-2.36,1.09,-1.27,0.72
mindaugaskuzminskas,68,-0.8,-1.2,-2.0,0.72
brandanwright,28,-0.86,0.4,-0.46,0.71
kellyoubrejr.,79,-1.67,-0.76,-2.43,0.71
jodiemeeks,36,-0.05,-1.6,-1.65,0.7
timfrazier,65,-0.73,-1.67,-2.4,0.7
thonmaker,57,-1.23,0.17,-1.06,0.7
alexabrines,68,0.13,-2.25,-2.12,0.69
allencrabbe,79,0.22,-2.87,-2.65,0.68
omerasik,31,-2.97,1.94,-1.03,0.65
denzelvalentine,57,-2.21,0.13,-2.08,0.64
bismackbiyombo,81,-3.33,0.77,-2.56,0.63
stanleyjohnson,77,-2.34,-0.04,-2.38,0.63
kevonlooney,53,-2.03,1.05,-0.98,0.63
luisscola,36,-0.8,-0.29,-1.09,0.62
alexisajinca,39,-3.17,1.64,-1.53,0.6
jeffwithey,51,-1.5,0.57,-0.93,0.58
krishumphries,56,-2.3,0.41,-1.89,0.54
raulneto,40,-1.43,0.92,-0.51,0.53
shabazznapier,53,-0.12,-1.39,-1.51,0.51
mikedunleavy,53,-2.26,0.05,-2.21,0.49
tylerennis,53,-1.36,-0.51,-1.87,0.49
michaelbeasley,56,-1.7,-0.61,-2.31,0.48
shawnlong,18,-0.31,0.3,-0.01,0.47
davidnwaba,20,-1.89,0.59,-1.3,0.47
anthonymorrow,49,-0.66,-1.46,-2.12,0.46
skallabissiere,33,-1.93,-0.04,-1.97,0.45
bobbyportis,64,-1.94,-0.5,-2.44,0.43
kylekorver,67,-0.15,-2.61,-2.76,0.41
paulpierce,25,-2.04,1.24,-0.8,0.4
joffreylauvergne,70,-1.22,-1.27,-2.49,0.39
yogiferrell,46,-0.99,-1.21,-2.2,0.39
jordancrawford,19,0.82,-2.48,-1.66,0.38
hollisthompson,40,-0.82,-1.23,-2.05,0.38
deandreliggins,62,-3.13,0.76,-2.37,0.37
sergiorodriguez,68,-0.66,-2.11,-2.77,0.35
shaunlivingston,76,-2.55,-0.19,-2.74,0.33
jamesmichaelmcadoo,52,-3.15,1.07,-2.08,0.31
kjmcdaniels,49,-1.54,-0.68,-2.22,0.3
treylyles,71,-2.48,-0.23,-2.71,0.29
thomasrobinson,48,-1.68,-0.66,-2.34,0.28
tylerzeller,51,-2.5,0.2,-2.3,0.28
okarowhite,35,-2.13,-0.03,-2.16,0.28
fredvanvleet,37,-2.44,0.83,-1.61,0.28
sashavujacic,42,-2.35,0.26,-2.09,0.27
evanturner,65,-3.04,0.15,-2.89,0.25
shelvinmack,55,-1.51,-1.28,-2.79,0.25
milesplumlee,45,-2.79,0.52,-2.27,0.25
danteexum,66,-2.14,-0.65,-2.79,0.25
adreianpayne,18,-1.69,1.36,-0.33,0.24
jamesjones,48,-0.91,-1.27,-2.18,0.23
rodneystuckey,39,-1.66,-0.91,-2.57,0.23
omricasspi,36,-2.35,0.05,-2.3,0.22
marshallplumlee,21,-1.75,0.65,-1.1,0.22
montaellis,74,-1.32,-1.64,-2.96,0.21
patconnaughton,39,-1.28,-0.79,-2.07,0.21
chrisandersen,12,-1.4,1.02,-0.38,0.2
chassonrandle,26,-0.74,-1.36,-2.1,0.2
rakeemchristmas,29,-2.2,0.5,-1.7,0.2
kylesingler,32,-3.25,0.9,-2.35,0.19
anthonybennett,23,-0.76,-1.29,-2.05,0.19
malcolmdelaney,73,-2.64,-0.25,-2.89,0.18
malikbeasley,22,-1.74,0.21,-1.53,0.18
nickcollison,20,-2.18,1.12,-1.06,0.17
brandonbass,52,-1.06,-1.59,-2.65,0.17
joelanthony,19,-2.41,1.44,-0.97,0.17
ianclark,77,-1.08,-1.82,-2.9,0.17
zachlavine,47,-0.62,-2.35,-2.97,0.17
mikemiller,20,-1.93,0.35,-1.58,0.16
ajhammons,22,-2.77,1.27,-1.5,0.16
sheldonmac,30,-2.25,-0.08,-2.33,0.14
jamesyoung,29,-1.88,-0.28,-2.16,0.14
geraldgreen,47,-1.27,-1.47,-2.74,0.13
christianwood,13,-2.06,0.97,-1.09,0.13
josecalderon,41,-2.4,-0.36,-2.76,0.12
mettaworldpeace,25,-2.61,0.53,-2.08,0.11
treveongraham,27,-2.19,0.02,-2.17,0.11
noahvonleh,74,-4.02,1.03,-2.99,0.11
andersonvarejao,14,-1.74,0.65,-1.09,0.1
jaredsullinger,11,-2.7,0.9,-1.8,0.1
henryellenson,19,-2.32,0.38,-1.94,0.1
udonishaslem,16,-2.79,0.73,-2.06,0.09
tiagosplitter,8,-1.97,0.69,-1.28,0.09
chrismccullough,16,-1.58,0.18,-1.4,0.09
malachirichardson,22,-2.29,-0.14,-2.43,0.09
leandrobarbosa,67,-1.5,-1.5,-3.0,0.08
alonzogee,13,-2.11,0.43,-1.68,0.08
ryankelly,16,-1.94,1.45,-0.49,0.08
anthonybrown,11,-1.42,-0.34,-1.76,0.08
johnnyo'bryantiii,11,-1.92,0.3,-1.62,0.08
georgiospapagiannis,22,-2.47,-0.3,-2.77,0.08
joelbolomboy,12,-1.95,1.03,-0.92,0.07
alexpoythress,6,-1.91,-0.47,-2.38,0.07
mauricendour,32,-1.94,-0.37,-2.31,0.07
damianjones,10,-2.58,0.8,-1.78,0.07
dejountemurray,38,-1.97,-0.83,-2.8,0.07
spencerhawes,54,-2.13,-0.87,-3.0,0.06
joshmcroberts,22,-2.87,-0.01,-2.88,0.06
jordanhill,7,-2.31,1.16,-1.15,0.06
mikescott,18,-2.92,0.26,-2.66,0.06
jarelleddie,5,-2.31,0.62,-1.69,0.06
danielochefu,19,-2.35,0.55,-1.8,0.06
krisdunn,78,-2.64,-0.41,-3.05,0.06
wayneselden,14,-2.44,-0.28,-2.72,0.06
stephenzimmerman,19,-2.79,0.57,-2.22,0.06
c.j.watson,62,-2.41,-0.64,-3.05,0.05
eddavis,46,-2.96,-0.06,-3.02,0.05
ramonsessions,50,-1.65,-1.4,-3.05,0.04
joshhuestis,2,-1.97,0.83,-1.14,0.04
kylewiltjer,14,-2.54,0.57,-1.97,0.04
nicolaslaprovittola,18,-1.52,-1.19,-2.71,0.04
brunocaboclo,9,-1.76,0.11,-1.65,0.04
chinanuonuaku,5,-2.25,0.15,-2.1,0.04
timquarterman,16,-1.95,-0.4,-2.35,0.04
borisdiaw,73,-2.58,-0.5,-3.08,0.03
jarrettjack,2,-1.85,0.01,-1.84,0.03
ronnieprice,14,-2.24,-0.53,-2.77,0.03
greivisvasquez,3,-1.77,-0.38,-2.15,0.03
timofeymozgov,54,-4.02,0.93,-3.09,0.03
lamarpatterson,5,-2.23,0.62,-1.61,0.03
miketobey,2,-1.91,0.99,-0.92,0.03
georgesniang,23,-2.99,0.37,-2.62,0.03
jordanmickey,25,-2.62,-0.15,-2.77,0.03
jerrydbayless,3,-2.23,-0.47,-2.7,0.02
bobbybrown,25,-1.69,-1.18,-2.87,0.02
michaelgbinije,9,-2.17,-0.17,-2.34,0.02
pierrejackson,8,-0.96,-0.76,-1.72,0.02
jakelayman,35,-2.99,-0.03,-3.02,0.02
jarellmartin,42,-4.23,1.17,-3.06,0.02
isaiahwhitehead,73,-1.95,-1.16,-3.11,0.02
dahntayjones,1,-1.68,-0.38,-2.06,0.01
johnlucasiii,5,-1.3,-0.61,-1.91,0.01
norriscole,13,-2.56,-0.48,-3.04,0.01
quincyacy,38,-2.38,-0.21,-2.59,0.01
cjwilcox,22,-2.55,-0.4,-2.95,0.01
quinncook,14,-1.44,-1.38,-2.82,0.01
jarroduthoff,9,-2.29,-0.76,-3.05,0.01
bricejohnson,3,-2.32,1.08,-1.24,0.01
r.j.hunter,3,-1.38,-0.73,-2.11,0.01
demetriusjackson,5,-1.77,-0.3,-2.07,0.01
aaronharrison,5,-1.42,-0.32,-1.74,0.01
benbentil,3,-1.95,0.65,-1.3,0.01
diamondstone,7,-2.77,0.49,-2.28,0.01
patriciogarino,5,-2.61,-0.4,-3.01,0.0
danuelhousejr.,1,-1.76,-0.04,-1.8,0.0
isaiahtaylor,4,-2.19,-0.9,-3.09,0.0
deyontadavis,36,-2.88,-0.24,-3.12,0.0
brianteweber,20,-2.02,-1.29,-3.31,-0.02
damjanrudez,45,-2.38,-0.9,-3.28,-0.03
cheickdiallo,17,-2.54,-0.85,-3.39,-0.03
donatasmotiejunas,34,-2.51,-0.74,-3.25,-0.04
marcelohuertas,23,-2.17,-1.25,-3.42,-0.05
deandre'bembry,38,-2.72,-0.67,-3.39,-0.05
ronbaker,52,-2.68,-0.56,-3.24,-0.06
ivicazubac,38,-3.04,-0.26,-3.3,-0.07
joeyoung,33,-2.64,-1.42,-4.06,-0.08
aaronbrooks,65,-1.81,-1.47,-3.28,-0.09
buddyhield,82,-0.92,-2.28,-3.2,-0.09
alananderson,30,-2.62,-1.04,-3.66,-0.1
alecburks,42,-2.47,-0.94,-3.41,-0.12
troywilliams,30,-3.06,-0.45,-3.51,-0.14
brianroberts,41,-2.62,-1.07,-3.69,-0.15
jonathangibson,17,-1.95,-2.16,-4.11,-0.15
jamalcrawford,82,-0.06,-3.18,-3.24,-0.16
pascalsiakam,55,-3.93,0.49,-3.44,-0.17
darrunhilliard,39,-3.2,-0.69,-3.89,-0.18
lavoyallen,61,-2.56,-0.91,-3.47,-0.19
jeffgreen,69,-2.03,-1.31,-3.34,-0.21
jaylenbrown,78,-2.95,-0.42,-3.37,-0.21
brynforbes,36,-2.78,-1.62,-4.4,-0.22
andrewnicholson,38,-3.54,-0.67,-4.21,-0.23
jordanmcrae,37,-2.19,-1.87,-4.06,-0.23
paulzipser,44,-3.37,-0.19,-3.56,-0.23
kayfelder,42,-3.39,-0.85,-4.24,-0.28
draganbender,43,-3.2,-0.68,-3.88,-0.28
chandlerparsons,34,-3.51,-0.33,-3.84,-0.29
kevinseraphin,49,-2.94,-1.07,-4.01,-0.31
justisewinslow,18,-4.08,0.16,-3.92,-0.31
rashadvaughn,41,-3.44,-0.89,-4.33,-0.35
reggiejackson,52,-0.59,-2.94,-3.53,-0.36
nicolasbrussino,54,-2.42,-1.82,-4.24,-0.36
isaiahcanaan,39,-3.0,-1.12,-4.12,-0.37
cameronpayne,31,-4.14,-0.31,-4.45,-0.39
derrickwilliams,50,-2.66,-1.25,-3.91,-0.4
brandonrush,47,-3.13,-0.73,-3.86,-0.48
justinanderson,75,-1.36,-2.54,-3.9,-0.59
shabazzmuhammad,78,-0.56,-3.19,-3.75,-0.6
marcusthornton,33,-1.64,-3.31,-4.95,-0.66
wadebaldwiniv,33,-4.36,-1.43,-5.79,-0.67
emmanuelmudiay,55,-1.52,-2.38,-3.9,-0.71
marquesechriss,82,-1.96,-1.82,-3.78,-0.76
joeharris,52,-2.46,-1.73,-4.19,-0.82
randyfoye,69,-2.7,-1.42,-4.12,-0.85
tylerulis,61,-2.03,-2.23,-4.26,-0.86
geraldhenderson,72,-1.51,-2.42,-3.93,-0.87
lancethomas,46,-2.87,-1.73,-4.6,-0.91
treyburke,57,-2.15,-3.09,-5.24,-0.92
benmclemore,61,-2.88,-1.58,-4.46,-0.99
bojanbogdanovic,81,-0.46,-3.42,-3.88,-1.04
patrickmccaw,71,-3.09,-1.57,-4.66,-1.1
arronafflalo,61,-1.43,-2.85,-4.28,-1.12
dougmcdermott,66,-0.61,-3.92,-4.53,-1.33
jordanclarkson,82,-0.63,-3.39,-4.02,-1.4
semajchriston,64,-3.76,-1.69,-5.45,-1.4
jeramigrant,80,-2.42,-2.29,-4.71,-1.56
brandonknight,54,-2.24,-3.08,-5.32,-1.63
d.j.augustin,78,-1.53,-3.4,-4.93,-1.74
jahlilokafor,50,-4.43,-1.26,-5.69,-1.85
mariohezonja,65,-4.4,-2.2,-6.6,-2.09
brandoningram,79,-1.76,-2.93,-4.69,-2.32
