,Rk,PLAYER,POSITION,TEAM,POINTS,TRB,AST,STL,BLK,FG%,3P%,FT%,FGA,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TOV,PF,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W
10,11,Kyrie Irving,PG,CLE,25.2,3.2,5.8,1.2,0.3,0.473,0.401,0.905,19.7,2.5,6.1,6.9,13.6,0.505,0.535,4.1,4.6,0.7,2.5,2.5,2.2,72,35.1,4.35,-2.3,2.05,8.28,13.5,99.12,47
11,12,Kevin Durant,SF,GS,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,16.5,1.9,5,7,11.5,0.608,0.594,5.4,6.2,0.6,7.6,2.2,1.9,62,33.4,4.41,1.33,5.74,12.24,18.6,103.71,51
12,13,Karl Anthony Towns,C,MIN,25.1,12.3,2.7,0.7,1.3,0.542,0.367,0.832,18,1.2,3.4,8.5,14.7,0.582,0.576,4.3,5.2,3.6,8.7,2.6,2.9,82,37,3.54,-1.41,2.13,10,17.1,97.1,31
13,14,Jimmy Butler,SF,CHI,23.9,6.2,5.5,1.9,0.4,0.455,0.367,0.865,16.5,1.2,3.3,6.3,13.2,0.477,0.492,7.7,8.9,1.7,4.5,2.1,1.5,76,37,4.82,1.8,6.62,17.35,16.4,97.78,40
14,15,Paul George,SF,IND,23.7,6.6,3.3,1.6,0.4,0.461,0.393,0.898,18,2.6,6.6,5.7,11.4,0.501,0.534,4.5,5,0.8,5.8,2.9,2.7,75,35.9,2.67,-0.09,2.58,9.72,13.6,98.13,39
15,16,Andrew Wiggins,SF,MIN,23.6,4,2.3,1,0.4,0.452,0.356,0.76,19.1,1.3,3.5,7.4,15.6,0.473,0.484,5,6.6,1.2,2.8,2.3,2.2,82,37.2,1.56,-3.16,-1.6,2.94,9.5,97.56,31
16,17,Kemba Walker,PG,CHA,23.2,3.9,5.5,1.1,0.3,0.444,0.399,0.847,18.3,3,7.6,5.1,10.7,0.476,0.527,3.8,4.5,0.6,3.3,2.1,1.5,79,34.7,3.93,-1.25,2.68,9.95,13.7,98.19,36
17,18,Bradley Beal,SG,WSH,23.1,3.1,3.5,1.1,0.3,0.482,0.404,0.825,17.2,2.9,7.2,5.4,10,0.538,0.566,3.7,4.4,0.7,2.4,2,2.2,77,34.9,3.29,-1.04,2.25,9.26,11.9,100.11,48
18,19,John Wall,PG,WSH,23.1,4.2,10.7,2,0.6,0.451,0.327,0.801,18.4,1.1,3.5,7.2,14.9,0.48,0.482,5.4,6.8,0.8,3.4,4.1,1.9,78,36.4,3.52,-1.26,2.26,9.9,15.3,101.07,48
19,21,Giannis Antetokounmpo,SF,MIL,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,15.7,0.6,2.3,7.6,13.5,0.563,0.541,5.9,7.7,1.8,7,2.9,3.1,80,35.6,2.35,1.86,4.21,13,17.6,96.46,42
20,22,Carmelo Anthony,SF,NY,22.4,5.9,2.9,0.8,0.5,0.433,0.359,0.833,18.8,2,5.7,6.1,13.1,0.466,0.488,4.1,4.9,0.8,5.1,2.1,2.7,74,34.3,1.87,-1.75,0.12,5.26,11.8,98.48,29
21,23,Kyle Lowry,PG,TOR,22.4,4.8,7,1.5,0.3,0.464,0.412,0.819,15.3,3.2,7.8,3.9,7.5,0.518,0.569,5,6.1,0.8,4,2.9,2.8,60,37.4,4.7,1.18,5.88,12.67,14.7,96.85,36
22,24,Klay Thompson,SG,GS,22.3,3.7,2.1,0.8,0.5,0.468,0.414,0.853,17.6,3.4,8.3,4.8,9.3,0.516,0.565,2.4,2.8,0.6,3,1.6,1.8,78,34,2.78,-0.45,2.33,9.53,10.9,102.15,66
23,25,Devin Booker,SG,PHX,22.1,3.2,3.4,0.9,0.3,0.423,0.363,0.832,18.3,1.9,5.2,5.9,13.2,0.447,0.475,4.7,5.7,0.6,2.6,3.1,3.1,78,35,1.28,-2.58,-1.3,3.29,8.9,103.62,24
24,26,Gordon Hayward,SF,UTAH,21.9,5.4,3.5,1,0.3,0.471,0.398,0.844,15.8,2,5.1,5.4,10.7,0.506,0.536,5,5.9,0.7,4.7,1.9,1.6,73,34.5,3.14,-0.08,3.06,9.45,15.8,93.44,46
25,27,Blake Griffin,PF,LAC,21.6,8.1,4.9,0.9,0.4,0.493,0.336,0.76,15.9,0.6,1.9,7.2,14.1,0.514,0.513,5.2,6.9,1.8,6.3,2.3,2.6,61,34,3.02,0.76,3.78,9.2,15.2,98.71,40
26,28,Eric Bledsoe,PG,PHX,21.1,4.8,6.3,1.4,0.5,0.434,0.335,0.847,15.7,1.6,4.7,5.2,11,0.477,0.485,5.9,6.9,0.8,4.1,3.4,2.5,66,33,2.33,-0.64,1.69,6.85,14.1,103.09,22
27,29,Mike Conley,PG,MEM,20.5,3.5,6.3,1.3,0.3,0.46,0.408,0.859,14.6,2.5,6.1,4.2,8.6,0.497,0.545,4.6,5.3,0.4,3,2.3,1.8,69,33.2,4.67,-0.2,4.47,10.5,16,94.64,35
28,30,Brook Lopez,C,BKN,20.5,5.4,2.3,0.5,1.7,0.474,0.346,0.81,15.6,1.8,5.2,5.6,10.5,0.536,0.531,3.9,4.9,1.6,3.8,2.5,2.6,75,29.6,1.4,0.55,1.95,7.59,12.4,104.03,20
29,31,Goran Dragic,PG,MIA,20.3,3.8,5.8,1.2,0.2,0.475,0.405,0.79,15.4,1.6,4,5.7,11.4,0.499,0.527,4.1,5.2,0.8,3,2.9,2.7,73,33.7,2.54,-1.62,0.92,6.3,13,98.16,40
30,32,Joel Embiid,C,PHI,20.2,7.8,2.1,0.9,2.5,0.466,0.367,0.783,13.8,1.2,3.2,5.3,10.7,0.495,0.508,6.2,7.9,2,5.9,3.8,3.6,31,25.4,-0.57,2.27,1.7,2.46,17.4,100.25,13
31,33,Jabari Parker,PF,MIL,20.1,6.2,2.8,1,0.4,0.49,0.365,0.743,16,1.3,3.5,6.5,12.5,0.525,0.53,3.2,4.3,1.5,4.6,1.8,2.2,51,33.9,0.83,-1.61,-0.78,2.59,12.1,98.47,22
32,34,Marc Gasol,C,MEM,19.5,6.3,4.6,0.9,1.3,0.459,0.388,0.837,15.7,1.4,3.6,5.8,12.1,0.48,0.503,3.8,4.5,0.8,5.5,2.2,2.3,74,34.2,1.86,0.72,2.58,8.69,15.1,94.43,40
33,35,Harrison Barnes,PF,DAL,19.2,5,1.5,0.8,0.2,0.468,0.351,0.861,16.2,1,2.8,6.6,13.4,0.492,0.498,3.1,3.6,1.2,3.8,1.3,1.6,79,35.5,-0.44,0.11,-0.33,4.78,11.2,93.9,32
34,36,Kevin Love,PF,CLE,19,11.1,1.9,0.9,0.4,0.427,0.373,0.871,14.5,2.4,6.5,3.8,8,0.471,0.51,4.3,4.9,2.5,8.6,2,2.1,60,31.4,2.77,2.26,5.03,9.76,14.8,99.66,40
35,37,Zach LaVine,SG,MIN,18.9,3.4,3,0.9,0.2,0.459,0.387,0.836,15.1,2.6,6.6,4.4,8.5,0.515,0.544,2.5,3,0.4,3,1.8,2.2,47,37.2,-0.62,-2.35,-2.97,0.17,9.5,96.38,16
36,38,Rudy Gay,SF,SAC,18.7,6.3,2.8,1.5,0.9,0.455,0.372,0.855,14.7,1.4,3.8,5.3,11,0.483,0.502,3.9,4.6,1.2,5.2,2.5,2.6,30,33.8,-0.21,1.96,1.75,3.1,12.5,98.07,11
37,39,Dwyane Wade,SG,CHI,18.3,4.5,3.8,1.4,0.7,0.434,0.31,0.794,15.9,0.8,2.4,6.2,13.5,0.456,0.457,3.7,4.7,1.1,3.5,2.3,1.9,60,29.9,-0.45,-0.46,-0.91,2.52,12.1,98.2,29
38,40,Danilo Gallinari,SF,DEN,18.2,5.2,2.1,0.6,0.2,0.447,0.389,0.902,11.9,2,5.1,3.3,6.8,0.491,0.531,5.5,6.1,0.6,4.5,1.3,1.5,63,33.9,2.67,0.21,2.88,8.39,11.4,100.53,31
